"feature","feature_type","code","description"
"icd9_.ADENOID.CYSTIC.CARCINOMA.SDA","icd9",".ADENOID.CYSTIC.CARCINOMA.SDA",".ADENOID.CYSTIC.CARCINOMA.SDA"
"icd9_.INTRACTABLE.EPILEPSY.SDA","icd9",".INTRACTABLE.EPILEPSY.SDA",".INTRACTABLE.EPILEPSY.SDA"
"icd9_.AORTIC.DISSECTION","icd9",".AORTIC.DISSECTION",".AORTIC.DISSECTION"
"icd9_.TIA.IV.HEPARIN","icd9",".TIA.IV.HEPARIN",".TIA.IV.HEPARIN"
"icd9_.ETT.CATH","icd9",".ETT.CATH",".ETT.CATH"
"icd9_14.AAA","icd9","14.AAA","14.AAA"
"icd9_3RD.DEGREE.HEART.BLOCK","icd9","3RD.DEGREE.HEART.BLOCK","3RD.DEGREE.HEART.BLOCK"
"icd9_ABD.PAIN..MASTOCYTOSIS","icd9","ABD.PAIN..MASTOCYTOSIS","ABD.PAIN..MASTOCYTOSIS"
"icd9_ABDOMINAL.ABCESS","icd9","ABDOMINAL.ABCESS","ABDOMINAL.ABCESS"
"icd9_ABDOMINAL.AORTIC.ANEURYSM.SDA","icd9","ABDOMINAL.AORTIC.ANEURYSM.SDA","ABDOMINAL.AORTIC.ANEURYSM.SDA"
"icd9_ABDOMINAL.FISTULA","icd9","ABDOMINAL.FISTULA","ABDOMINAL.FISTULA"
"icd9_ABDOMINAL.PAIN","icd9","ABDOMINAL.PAIN","ABDOMINAL.PAIN"
"icd9_ABDOMINAL.PAIN.EXPLORATORY.LAP","icd9","ABDOMINAL.PAIN.EXPLORATORY.LAP","ABDOMINAL.PAIN.EXPLORATORY.LAP"
"icd9_ABDOMINAL.PAIN.FEVER","icd9","ABDOMINAL.PAIN.FEVER","ABDOMINAL.PAIN.FEVER"
"icd9_ACIDOSIS","icd9","ACIDOSIS","ACIDOSIS"
"icd9_ACITIC.STENOSIS","icd9","ACITIC.STENOSIS","ACITIC.STENOSIS"
"icd9_ACUTE.CORONARY.SYNDROME","icd9","ACUTE.CORONARY.SYNDROME","ACUTE.CORONARY.SYNDROME"
"icd9_ACUTE.MI","icd9","ACUTE.MI","ACUTE.MI"
"icd9_ACUTE.MYOCARDIAL.INFARCTION","icd9","ACUTE.MYOCARDIAL.INFARCTION","ACUTE.MYOCARDIAL.INFARCTION"
"icd9_ACUTE.PANCREATITIS","icd9","ACUTE.PANCREATITIS","ACUTE.PANCREATITIS"
"icd9_ACUTE.RENAL.FAILURE","icd9","ACUTE.RENAL.FAILURE","ACUTE.RENAL.FAILURE"
"icd9_ACUTE.SUBDURAL.HEMATOMA","icd9","ACUTE.SUBDURAL.HEMATOMA","ACUTE.SUBDURAL.HEMATOMA"
"icd9_ACUTE.SUBDURAL.HEMATOMA.TELEMETRY","icd9","ACUTE.SUBDURAL.HEMATOMA.TELEMETRY","ACUTE.SUBDURAL.HEMATOMA.TELEMETRY"
"icd9_ADENOCARCINOMA.RIGHT.COLON.SDA","icd9","ADENOCARCINOMA.RIGHT.COLON.SDA","ADENOCARCINOMA.RIGHT.COLON.SDA"
"icd9_AICD.FIRING","icd9","AICD.FIRING","AICD.FIRING"
"icd9_AIRWAY.OBSTRUCTION","icd9","AIRWAY.OBSTRUCTION","AIRWAY.OBSTRUCTION"
"icd9_AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.RIGID","icd9","AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.RIGID","AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.RIGID"
"icd9_AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.WITH.STENT.","icd9","AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.WITH.STENT.","AIRWAY.OBSTRUCTION.SDA..BRONCHOSCOPY.WITH.STENT."
"icd9_AIRWAY.OBSTRUCTION..TRACH.TUBE.PLACEMENT.BRONCHOSCOPY.FLEXIBLE..AND.RIGID","icd9","AIRWAY.OBSTRUCTION..TRACH.TUBE.PLACEMENT.BRONCHOSCOPY.FLEXIBLE..AND.RIGID","AIRWAY.OBSTRUCTION..TRACH.TUBE.PLACEMENT.BRONCHOSCOPY.FLEXIBLE..AND.RIGID"
"icd9_AIWARY.OBSTRUCTION.SDA","icd9","AIWARY.OBSTRUCTION.SDA","AIWARY.OBSTRUCTION.SDA"
"icd9_ALCOHOL.WITHDRAWAL","icd9","ALCOHOL.WITHDRAWAL","ALCOHOL.WITHDRAWAL"
"icd9_ALCOHOLIC.ACIDOSIS","icd9","ALCOHOLIC.ACIDOSIS","ALCOHOLIC.ACIDOSIS"
"icd9_ALLERGIC.REACTION","icd9","ALLERGIC.REACTION","ALLERGIC.REACTION"
"icd9_ALTERED.MENTAL.STATUA","icd9","ALTERED.MENTAL.STATUA","ALTERED.MENTAL.STATUA"
"icd9_ALTERED.MENTAL.STATUS","icd9","ALTERED.MENTAL.STATUS","ALTERED.MENTAL.STATUS"
"icd9_AMI.DYSPNEA","icd9","AMI.DYSPNEA","AMI.DYSPNEA"
"icd9_AMS","icd9","AMS","AMS"
"icd9_ANAPHYLAXIS","icd9","ANAPHYLAXIS","ANAPHYLAXIS"
"icd9_ANEMIA","icd9","ANEMIA","ANEMIA"
"icd9_ANEMIA..UNABLE.TO.AMBULATE","icd9","ANEMIA..UNABLE.TO.AMBULATE","ANEMIA..UNABLE.TO.AMBULATE"
"icd9_ANEURYSM","icd9","ANEURYSM","ANEURYSM"
"icd9_ANEURYSM.SDA","icd9","ANEURYSM.SDA","ANEURYSM.SDA"
"icd9_ANGIO.ADEMA","icd9","ANGIO.ADEMA","ANGIO.ADEMA"
"icd9_AORTIC.AND.MITRAL.VALVE.REPLACEMENT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA","icd9","AORTIC.AND.MITRAL.VALVE.REPLACEMENT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA","AORTIC.AND.MITRAL.VALVE.REPLACEMENT.AORTIC.VALVE.REPLACEMENT.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_AORTIC.DISSECTION","icd9","AORTIC.DISSECTION","AORTIC.DISSECTION"
"icd9_AORTIC.DISSESTION","icd9","AORTIC.DISSESTION","AORTIC.DISSESTION"
"icd9_AORTIC.HEMATOMA","icd9","AORTIC.HEMATOMA","AORTIC.HEMATOMA"
"icd9_AORTIC.REGURGITATION.AORTIC.VALVE.REPLACEMENT..RE.DO","icd9","AORTIC.REGURGITATION.AORTIC.VALVE.REPLACEMENT..RE.DO","AORTIC.REGURGITATION.AORTIC.VALVE.REPLACEMENT..RE.DO"
"icd9_AORTIC.STENOSIS..AORTIC.VALVE.REPLACEMENT.SDA","icd9","AORTIC.STENOSIS..AORTIC.VALVE.REPLACEMENT.SDA","AORTIC.STENOSIS..AORTIC.VALVE.REPLACEMENT.SDA"
"icd9_AORTIC.STENOSIS..AORTIC.MITRAL.VALVE.REPLACEMENT.SDA","icd9","AORTIC.STENOSIS..AORTIC.MITRAL.VALVE.REPLACEMENT.SDA","AORTIC.STENOSIS..AORTIC.MITRAL.VALVE.REPLACEMENT.SDA"
"icd9_AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..RE.DO..MITRAL.VALVE.REPLACEMENT..QUESTION.OF..ALSO.PERICARDECTOMY.SDA","icd9","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..RE.DO..MITRAL.VALVE.REPLACEMENT..QUESTION.OF..ALSO.PERICARDECTOMY.SDA","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..RE.DO..MITRAL.VALVE.REPLACEMENT..QUESTION.OF..ALSO.PERICARDECTOMY.SDA"
"icd9_AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..LIMITED.ACCESS.SDA","icd9","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..LIMITED.ACCESS.SDA","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT..LIMITED.ACCESS.SDA"
"icd9_AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT.SDA","icd9","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT.SDA","AORTIC.STENOSIS.AORTIC.VALVE.REPLACEMENT.SDA"
"icd9_AORTIC.STENOSIS.AORTIC.VALVULOPLASTY","icd9","AORTIC.STENOSIS.AORTIC.VALVULOPLASTY","AORTIC.STENOSIS.AORTIC.VALVULOPLASTY"
"icd9_AORTIC.STENOSIS.BENTALL.PROCEDURE.SDA","icd9","AORTIC.STENOSIS.BENTALL.PROCEDURE.SDA","AORTIC.STENOSIS.BENTALL.PROCEDURE.SDA"
"icd9_AORTIC.STENOSIS.CATH","icd9","AORTIC.STENOSIS.CATH","AORTIC.STENOSIS.CATH"
"icd9_AORTIC.VALVE.ENDOCARDITIS","icd9","AORTIC.VALVE.ENDOCARDITIS","AORTIC.VALVE.ENDOCARDITIS"
"icd9_AORTIC.VALVE.STENOSIS.AORTIC.VALVE.REPLACEMENT..MINIMALLY.INVASIVE.SDA","icd9","AORTIC.VALVE.STENOSIS.AORTIC.VALVE.REPLACEMENT..MINIMALLY.INVASIVE.SDA","AORTIC.VALVE.STENOSIS.AORTIC.VALVE.REPLACEMENT..MINIMALLY.INVASIVE.SDA"
"icd9_AORTO.ILIAC.DISEASE.SDA","icd9","AORTO.ILIAC.DISEASE.SDA","AORTO.ILIAC.DISEASE.SDA"
"icd9_ARTERIAL.OCCLUSION","icd9","ARTERIAL.OCCLUSION","ARTERIAL.OCCLUSION"
"icd9_ASCENDING.AORTIC..ANEURSYM..ASCENDING.AROTA.W..PROXIMAL.ARCH.SDA","icd9","ASCENDING.AORTIC..ANEURSYM..ASCENDING.AROTA.W..PROXIMAL.ARCH.SDA","ASCENDING.AORTIC..ANEURSYM..ASCENDING.AROTA.W..PROXIMAL.ARCH.SDA"
"icd9_ASCITES.SHORTNESS.OF.BREATH","icd9","ASCITES.SHORTNESS.OF.BREATH","ASCITES.SHORTNESS.OF.BREATH"
"icd9_ASPIRATION.PNEUMONIA","icd9","ASPIRATION.PNEUMONIA","ASPIRATION.PNEUMONIA"
"icd9_ASTHAM.COPD.EXACERBATION","icd9","ASTHAM.COPD.EXACERBATION","ASTHAM.COPD.EXACERBATION"
"icd9_ASTHMA","icd9","ASTHMA","ASTHMA"
"icd9_ASTHMA.ATTACK","icd9","ASTHMA.ATTACK","ASTHMA.ATTACK"
"icd9_ASTHMA.EXACERBATION","icd9","ASTHMA.EXACERBATION","ASTHMA.EXACERBATION"
"icd9_ASTHMA.FLARE.PNEUMONIA","icd9","ASTHMA.FLARE.PNEUMONIA","ASTHMA.FLARE.PNEUMONIA"
"icd9_ASTHMA.COPD.EXACERBATION","icd9","ASTHMA.COPD.EXACERBATION","ASTHMA.COPD.EXACERBATION"
"icd9_ATRIAL.FIBRILLATION.PHARMACOLOGICAL...NON.PHARM.MGMT.AFIB.ABLATION....REMOTE.WEST..","icd9","ATRIAL.FIBRILLATION.PHARMACOLOGICAL...NON.PHARM.MGMT.AFIB.ABLATION....REMOTE.WEST..","ATRIAL.FIBRILLATION.PHARMACOLOGICAL...NON.PHARM.MGMT.AFIB.ABLATION....REMOTE.WEST.."
"icd9_ATRIAL.FLUTTER.ATRAIL.FLUTTER.ABLATION","icd9","ATRIAL.FLUTTER.ATRAIL.FLUTTER.ABLATION","ATRIAL.FLUTTER.ATRAIL.FLUTTER.ABLATION"
"icd9_BACTERIAL.PERITONITIS","icd9","BACTERIAL.PERITONITIS","BACTERIAL.PERITONITIS"
"icd9_BILATERAL.PNEUMONIA","icd9","BILATERAL.PNEUMONIA","BILATERAL.PNEUMONIA"
"icd9_BLEEDING.AV.FISTULA","icd9","BLEEDING.AV.FISTULA","BLEEDING.AV.FISTULA"
"icd9_BOORHAAVE.S","icd9","BOORHAAVE.S","BOORHAAVE.S"
"icd9_BRADYCARDIA","icd9","BRADYCARDIA","BRADYCARDIA"
"icd9_BRADYCARDIA.ACUTE.RENAL.FAILURE","icd9","BRADYCARDIA.ACUTE.RENAL.FAILURE","BRADYCARDIA.ACUTE.RENAL.FAILURE"
"icd9_BRADYCARDIA.NAUSEA.VOMITINH","icd9","BRADYCARDIA.NAUSEA.VOMITINH","BRADYCARDIA.NAUSEA.VOMITINH"
"icd9_BRAIN.TUMOR.SDA","icd9","BRAIN.TUMOR.SDA","BRAIN.TUMOR.SDA"
"icd9_BREAST.CANCER.PNEUMONIA","icd9","BREAST.CANCER.PNEUMONIA","BREAST.CANCER.PNEUMONIA"
"icd9_BRIGHT.RED.BLOOD.PER.RECTUM","icd9","BRIGHT.RED.BLOOD.PER.RECTUM","BRIGHT.RED.BLOOD.PER.RECTUM"
"icd9_BRONCHITIS","icd9","BRONCHITIS","BRONCHITIS"
"icd9_C6.FRACTURE","icd9","C6.FRACTURE","C6.FRACTURE"
"icd9_CA.IN.SITE.OF.RECTUM.SDA","icd9","CA.IN.SITE.OF.RECTUM.SDA","CA.IN.SITE.OF.RECTUM.SDA"
"icd9_CAD.R.O.MI","icd9","CAD.R.O.MI","CAD.R.O.MI"
"icd9_CARDIOMYOPATHY","icd9","CARDIOMYOPATHY","CARDIOMYOPATHY"
